127.0.0.1 - - [02/Mar/2020:16:24:50 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:24:50 +0530] "GET /Project_Training/home.html HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:25:43 +0530] "GET /Project_Training/home.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:26:26 +0530] "GET /Project_Training/home.html HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:29:08 +0530] "GET /Project_Training/home.html HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:32:10 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:32:12 +0530] "GET /Project_Training/about.html HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:32:44 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:32:46 +0530] "GET /Project_Training/services.html HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:38:18 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:40:00 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:44:11 +0530] "GET /Project_Training/home.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:44:51 +0530] "GET /webproject/index.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:55:21 +0530] "GET /Project_Training/ HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:58:25 +0530] "GET /Project_Training/home.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:58:27 +0530] "GET /Project_Training/login.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:59:08 +0530] "GET /Project_Training/validate.jsp?uname=Admin&pwd=Admin1234 HTTP/1.1" 500 3836
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:59:48 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:59:59 +0530] "GET /Project_Training/about.html HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:00:09 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:00:11 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:00:25 +0530] "GET /Project_Training/validate.jsp?uname=Admin&pwd=Admin1234 HTTP/1.1" 500 3836
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:02:20 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:02:22 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:02:34 +0530] "GET /Project_Training/validate.jsp?uname=Admin&pwd= HTTP/1.1" 500 3836
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:02:54 +0530] "GET /Project_Training/validate.jsp?uname=Admin&pwd=Admin1234 HTTP/1.1" 500 3836
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:38 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:40 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:04:50 +0530] "GET /Project_Training/validate.jsp?uname=Admin&pwd=Admin1234 HTTP/1.1" 500 3833
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:14:22 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:14:24 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:14:34 +0530] "GET /Project_Training/validate.jsp?uname=Admin&pwd=Admin1234 HTTP/1.1" 500 3723
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:17:35 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:17:37 +0530] "GET /Project_Training/login.html HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:17:56 +0530] "GET /Project_Training/validate.jsp?id=101&pwd=Admin1234 HTTP/1.1" 500 3720
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:18:44 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:19:02 +0530] "GET /Project_Training/validate.jsp?id=101&pwd=Admin1234 HTTP/1.1" 500 3720
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:00 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:02 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:20:12 +0530] "GET /Project_Training/validate.jsp?id=101&pwd=Admin1234 HTTP/1.1" 500 3720
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:24:32 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:24:33 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:24:41 +0530] "GET /Project_Training/validate.jsp?id=101&pwd=Admin1234 HTTP/1.1" 500 3720
